"person_id","time_of_measurement","measured_download_speed_in_Mbps","did_test_complete_successfully"
11218,0,0.42485549132948,0
11560,0,0.0195729537366548,0
11677,0,0.416184971098266,0
12309,0,0.395953757225434,0
12312,0,0.0939306358381503,0
13623,0,0.436416184971098,0
13821,0,0.411849710982659,0
13895,0,0.395953757225434,0
13918,0,0.0297029702970297,0
14280,0,0.380057803468208,0
14628,0,0.0266903914590747,0
14631,0,0.38728323699422,0
14820,0,0.410404624277457,0
15164,0,0.40028901734104,0
15769,0,0.0165016501650165,0
15814,0,0.359826589595376,0
15900,0,0.0195729537366548,0
15903,0,0.413294797687861,0
15974,0,0.180952380952381,0
16526,0,0.0213523131672598,0
16818,0,0.101156069364162,0
17285,0,0.0247524752475248,0
17738,0,0.0165016501650165,0
17777,0,0.413294797687861,0
18542,0,0.378612716763006,0
18922,0,0.0280528052805281,0
19001,0,0.393063583815029,0
19424,0,0.404624277456647,0
19836,0,0.42485549132948,0
20119,0,0.0160142348754448,0
20573,0,0.407514450867052,0
20734,0,0.0231316725978648,0
21044,0,0.404624277456647,0
21097,0,0.0231023102310231,0
21249,0,0.397398843930636,0
21502,0,0.38728323699422,0
21795,0,0.197278911564626,0
21895,0,0.0910404624277457,0
22090,0,0.0214521452145215,0
22176,0,0.0177935943060498,0
22778,0,0.108381502890173,0
22782,0,0.36271676300578,0
23120,0,0.407514450867052,0
23131,0,0.092485549132948,0
23340,0,0.182312925170068,0
23401,0,0.434971098265896,0
23533,0,0.0160142348754448,0
23593,0,0.0213523131672598,0
23817,0,0.375722543352601,0
23959,0,0.0214521452145215,0
24541,0,0.109826589595376,0
24655,0,0.11271676300578,0
24838,0,0.0160142348754448,0
24948,0,0.0266903914590747,0
25065,0,0.0165016501650165,0
25118,0,0.115606936416185,0
25531,0,0.0249110320284698,0
25793,0,0.0231023102310231,0
26315,0,0.228571428571429,0
27150,0,0.106936416184971,0
27332,0,0.414739884393064,0
27485,0,0.0213523131672598,0
27566,0,0.403179190751445,0
27791,0,0.0106761565836299,0
28107,0,0.189115646258503,0
28223,0,0.40028901734104,0
28676,0,0.397398843930636,0
28964,0,0.0124555160142349,0
29404,0,0.0249110320284698,0
29596,0,0.104046242774566,0
30235,0,0.0968208092485549,0
31032,0,0.0124555160142349,0
31246,0,0.384393063583815,0
31329,0,0.0997109826589595,0
31876,0,0.0160142348754448,0
33096,0,0.407514450867052,0
33180,0,0.404624277456647,0
33207,0,0.384393063583815,0
33361,0,0.0302491103202847,0
33365,0,0.0997109826589595,0
33581,0,0.390173410404624,0
34157,0,0.364161849710983,0
34826,0,0.0895953757225433,0
34994,0,0.204081632653061,0
35085,0,0.0852601156069364,0
35293,0,0.212244897959184,0
35593,0,0.191836734693878,0
35703,0,0.0264026402640264,0
36205,0,0.364161849710983,0
36308,0,0.175510204081633,0
36702,0,0.220408163265306,0
37179,0,0.0148514851485149,0
37445,0,0.404624277456647,0
37494,0,0.404624277456647,0
37582,0,0.0115511551155116,0
38202,0,0.0165016501650165,0
38617,0,0.216326530612245,0
38864,0,0.206802721088435,0
39486,0,0.0355871886120996,0
